Produtos;Vendas(BRL);ROAS;Taxa de conversão;Impressões;Cliques;CTR;Gastos(BRL);CPC(BRL);Pedidos;ACOS
B07D3DDVKS;0,00;0,00;#DIV/0!;47;0;0,00%;0,00;0,00;0;0,00%
B07D3DLB5S;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07D6VN5G4;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07D6WR5S8;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07DKVB3LB;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07H3B86KY;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07KFP1DYP;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07ML25CHF;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07N8HM6XG;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07NWZBGW3;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07NY3D54P;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07P14QL1B;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07QHYXJMZ;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07QPPQLNH;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07RY3CN4T;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07RY674FR;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07TBBR6J7;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07VKPZ562;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07VNB6BGN;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07VS45N81;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07XY7TWRL;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07YBM6D6Y;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
B07YGCPCQY;0,00;0,00;#DIV/0!;0;0;0,00%;0,00;0,00;0;0,00%
